Ansatz,Backend,Accuracy,Precision,Recall,F1,ROC_AUC,Depth,Gate_Count,Two_Qubit_Gates,Training_Time_sec,Inference_Time_sec,Total_Time_sec,Shots,Date
HEA,statevector,0.9,1.0,0.8,0.8888888888888888,1.0,2,3,1,4.430682911000076,0.021075642999676347,4.451758553999753,1024,2026-07-03T12:16:06.904061
Base,statevector,0.85,0.8888888888888888,0.8,0.8421052631578947,0.98,5,8,2,5.49169844700009,0.012974942000255396,5.504673389000345,1024,2026-07-03T12:16:06.830130
Reducido,statevector,0.85,0.8888888888888888,0.8,0.8421052631578947,0.95,3,5,1,2.3159485300002416,0.011270054999840795,2.3272185850000824,1024,2026-07-03T12:16:06.859569
