Ansatz,Backend,Accuracy,Precision,Recall,F1,ROC_AUC,Depth,Gate_Count,Two_Qubit_Gates,Training_Time_sec,Inference_Time_sec,Total_Time_sec,Shots,Date
HEA,statevector,0.9,1.0,0.8,0.8888888888888888,1.0,2,3,1,4.01682336399972,0.009671345000242582,4.026494708999962,1024,2026-07-03T12:22:23.913562
Base,statevector,0.85,0.8888888888888888,0.8,0.8421052631578947,0.98,5,8,2,4.888214018999861,0.011815947000286542,4.900029966000147,1024,2026-07-03T12:22:23.865740
Reducido,statevector,0.85,0.8888888888888888,0.8,0.8421052631578947,0.95,3,5,1,2.1042891580000287,0.009883591999823693,2.1141727499998524,1024,2026-07-03T12:22:23.891282
