Ansatz,Backend,Accuracy,Precision,Recall,F1,ROC_AUC,Depth,Gate_Count,Two_Qubit_Gates,Training_Time_sec,Inference_Time_sec,Total_Time_sec,Shots,Date
HEA,statevector,0.9,1.0,0.8,0.8888888888888888,1.0,2,3,1,4.6649169370011805,0.011559213000509772,4.67647615000169,1024,2026-07-03T01:18:19.917593
Base,statevector,0.85,0.8888888888888888,0.8,0.8421052631578947,0.98,5,8,2,5.6862898520012095,0.01345880799999577,5.699748660001205,1024,2026-07-03T01:18:19.876365
Reducido,statevector,0.85,0.8888888888888888,0.8,0.8421052631578947,0.95,3,5,1,2.4213064510004187,0.011729653000656981,2.4330361040010757,1024,2026-07-03T01:18:19.897626
